11-26-2017 | 17:23:37 |   192.168.4.55|guest|Home|http://localhost/NDUB/ndub-student/public|Mozilla Firefox|windows|||
11-26-2017 | 17:23:47 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
11-26-2017 | 17:23:55 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
11-26-2017 | 17:23:58 |   192.168.4.55|161201|Register Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Mozilla Firefox|windows|||
11-26-2017 | 17:24:33 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm|Mozilla Firefox|windows|||
11-26-2017 | 17:24:33 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm|Mozilla Firefox|windows|||
11-26-2017 | 17:24:34 |   192.168.4.55|161201|Admission List|http://localhost/NDUB/ndub-student/public/register/admission/list|Mozilla Firefox|windows|||
11-26-2017 | 17:24:40 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm|Mozilla Firefox|windows|||
11-26-2017 | 17:24:43 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm?applicant_serial_no=A181015776095|Mozilla Firefox|windows|||
11-26-2017 | 17:24:48 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm?applicant_serial_no=A181015776095|Mozilla Firefox|windows|||
11-26-2017 | 17:24:49 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm|Mozilla Firefox|windows|||
11-26-2017 | 17:26:20 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm?applicant_serial_no=A181015776095|Mozilla Firefox|windows|||
11-26-2017 | 17:27:11 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm?applicant_serial_no=A181015776095|Mozilla Firefox|windows|||
11-26-2017 | 17:31:10 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm?applicant_serial_no=A181015776095|Mozilla Firefox|windows|||
11-26-2017 | 17:32:42 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm?applicant_serial_no=A181015776095|Mozilla Firefox|windows|||
11-26-2017 | 17:33:42 |   192.168.4.55|161201|Home|http://localhost/NDUB/ndub-student/public|Mozilla Firefox|windows|||
11-26-2017 | 17:33:44 |   192.168.4.55|161201|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
11-26-2017 | 17:33:44 |   192.168.4.55|161201|Register Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Mozilla Firefox|windows|||
11-26-2017 | 17:33:47 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm|Mozilla Firefox|windows|||
11-26-2017 | 17:33:51 |   192.168.4.55|161201|Admission List|http://localhost/NDUB/ndub-student/public/register/admission/list|Mozilla Firefox|windows|||
11-26-2017 | 17:33:52 |   192.168.4.55|161201|Admission List|http://localhost/NDUB/ndub-student/public/register/admission/list|Mozilla Firefox|windows|||
11-26-2017 | 17:33:56 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm|Mozilla Firefox|windows|||
11-26-2017 | 17:33:56 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm|Mozilla Firefox|windows|||
11-26-2017 | 17:33:59 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm?applicant_serial_no=A181015776095|Mozilla Firefox|windows|||
11-26-2017 | 17:34:03 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm?applicant_serial_no=A181015776095|Mozilla Firefox|windows|||
11-26-2017 | 17:34:53 |   192.168.4.55|161201|Admission Confirm|http://localhost/NDUB/ndub-student/public/register/admission/confirm|Mozilla Firefox|windows|||
11-26-2017 | 17:35:00 |   192.168.4.55|161201|Admission List|http://localhost/NDUB/ndub-student/public/register/admission/list|Mozilla Firefox|windows|||
11-26-2017 | 17:35:00 |   192.168.4.55|161201|Admission List|http://localhost/NDUB/ndub-student/public/register/admission/list|Mozilla Firefox|windows|||
11-26-2017 | 17:35:01 |   192.168.4.55|161201|Admission List|http://localhost/NDUB/ndub-student/public/register/admission/list|Mozilla Firefox|windows|||
