01-17-2018 | 10:46:09 |   192.168.6.14|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-17-2018 | 10:46:22 |   192.168.6.14|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-17-2018 | 10:46:26 |   192.168.6.14|161201|Registrar Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Mozilla Firefox|windows|||
01-17-2018 | 10:46:33 |   192.168.6.14|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Mozilla Firefox|windows|||
01-17-2018 | 10:47:19 |   192.168.6.14|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Mozilla Firefox|windows|||
01-17-2018 | 10:47:24 |   192.168.6.14|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Mozilla Firefox|windows|||
01-17-2018 | 10:47:56 |   192.168.6.14|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Mozilla Firefox|windows|||
01-17-2018 | 10:48:35 |   192.168.6.14|161201|Registrar Student Notice Board Submit|http://localhost/NDUB/ndub-student/public/register/notice-board|Mozilla Firefox|windows|||
01-17-2018 | 10:48:37 |   192.168.6.14|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Mozilla Firefox|windows|||
01-17-2018 | 10:48:42 |   192.168.6.14|161201|Registrar Notice Edit|http://localhost/NDUB/ndub-student/public/register/edit/register_to_student/b08285e5-e518-4116-b5c7-cea0f4f15393|Mozilla Firefox|windows|||
01-17-2018 | 10:49:18 |   192.168.6.14|161201|Registrar Notice Edit|http://localhost/NDUB/ndub-student/public/register/edit/register_to_student/b08285e5-e518-4116-b5c7-cea0f4f15393|Mozilla Firefox|windows|||
01-17-2018 | 10:49:28 |   192.168.6.14|161201|Registrar Notice Edit|http://localhost/NDUB/ndub-student/public/register/edit/register_to_student/b08285e5-e518-4116-b5c7-cea0f4f15393|Mozilla Firefox|windows|||
01-17-2018 | 10:49:33 |   192.168.6.14|161201|Update Registrar Notice|http://localhost/NDUB/ndub-student/public/register/notice-board/edit/b08285e5-e518-4116-b5c7-cea0f4f15393|Mozilla Firefox|windows|||
01-17-2018 | 10:49:35 |   192.168.6.14|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Mozilla Firefox|windows|||
01-17-2018 | 10:49:38 |   192.168.6.14|161201|Registrar Notice Edit|http://localhost/NDUB/ndub-student/public/register/edit/register_to_student/b08285e5-e518-4116-b5c7-cea0f4f15393|Mozilla Firefox|windows|||
01-17-2018 | 10:49:43 |   192.168.6.14|161201|Update Registrar Notice|http://localhost/NDUB/ndub-student/public/register/notice-board/edit/b08285e5-e518-4116-b5c7-cea0f4f15393|Mozilla Firefox|windows|||
01-17-2018 | 10:49:45 |   192.168.6.14|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Mozilla Firefox|windows|||
01-17-2018 | 10:49:49 |   192.168.6.14|161201|Registrar Notice Edit|http://localhost/NDUB/ndub-student/public/register/edit/register_to_student/b08285e5-e518-4116-b5c7-cea0f4f15393|Mozilla Firefox|windows|||
01-17-2018 | 10:50:08 |   192.168.6.14|161201|Update Registrar Notice|http://localhost/NDUB/ndub-student/public/register/notice-board/edit/b08285e5-e518-4116-b5c7-cea0f4f15393|Mozilla Firefox|windows|||
01-17-2018 | 10:50:09 |   192.168.6.14|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Mozilla Firefox|windows|||
