12-19-2017 | 10:53:02 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-19-2017 | 10:53:20 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-19-2017 | 10:53:25 |   192.168.4.55|161101|Accounts Dashboard|http://localhost/NDUB/ndub-student/public/accounts/deal.gomes/home|Mozilla Firefox|windows|||
12-19-2017 | 10:53:50 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 10:53:50 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 10:54:05 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Google Chrome|windows|||
12-19-2017 | 10:54:13 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Google Chrome|windows|||
12-19-2017 | 10:54:15 |   192.168.4.55|161201|LogIn|http://localhost/NDUB/ndub-student/public/login|Google Chrome|windows|||
12-19-2017 | 10:54:17 |   192.168.4.55|161201|Registrar Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Google Chrome|windows|||
12-19-2017 | 10:54:51 |   192.168.4.55|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Google Chrome|windows|||
12-19-2017 | 10:56:49 |   192.168.4.55|161201|Registrar Notice Board|http://localhost/NDUB/ndub-student/public/register/notice-board|Google Chrome|windows|||
12-19-2017 | 10:57:00 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 10:58:18 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 10:58:32 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 10:58:46 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 10:59:05 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 10:59:55 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:00:11 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:00:38 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:00:55 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:01:03 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:01:10 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:07:47 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:08:14 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:09:10 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:10:00 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:10:01 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment|Mozilla Firefox|windows|||
12-19-2017 | 11:10:05 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment?program=12|Mozilla Firefox|windows|||
12-19-2017 | 11:10:44 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment?program=12|Mozilla Firefox|windows|||
12-19-2017 | 11:10:53 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment?program=12|Mozilla Firefox|windows|||
12-19-2017 | 11:11:10 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment?program=12|Mozilla Firefox|windows|||
12-19-2017 | 11:11:17 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment?program=01|Mozilla Firefox|windows|||
12-19-2017 | 11:11:19 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment?page=2&program=01|Mozilla Firefox|windows|||
12-19-2017 | 11:11:21 |   192.168.4.55|161101|Accounts Fee Payment|http://localhost/NDUB/ndub-student/public/accounts/fee-payment?page=3&program=01|Mozilla Firefox|windows|||
