01-09-2018 | 11:22:50 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-09-2018 | 11:23:04 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-09-2018 | 11:23:07 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course|Mozilla Firefox|windows|||
01-09-2018 | 11:23:13 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course?student_serial_no=183010001|Mozilla Firefox|windows|||
01-09-2018 | 11:23:22 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
01-09-2018 | 11:23:31 |   192.168.4.55|161201|Registrar Booking Supplimentry Course Confirm|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/confirm|Mozilla Firefox|windows|||
01-09-2018 | 11:23:34 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course?student_serial_no=183010001|Mozilla Firefox|windows|||
01-09-2018 | 11:23:43 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
01-09-2018 | 11:23:50 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/183010001/ENG1103/01|Mozilla Firefox|windows|||
01-09-2018 | 11:23:54 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
01-09-2018 | 11:24:02 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/183010001/ENG1103/01|Mozilla Firefox|windows|||
01-09-2018 | 11:24:06 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
01-09-2018 | 11:24:14 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course?student_serial_no=183010001|Mozilla Firefox|windows|||
01-09-2018 | 11:33:40 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list|Mozilla Firefox|windows|||
01-09-2018 | 11:35:34 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list|Mozilla Firefox|windows|||
01-09-2018 | 11:38:20 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list|Mozilla Firefox|windows|||
01-09-2018 | 11:38:36 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list|Mozilla Firefox|windows|||
01-09-2018 | 11:46:11 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list|Mozilla Firefox|windows|||
01-09-2018 | 11:48:15 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list|Mozilla Firefox|windows|||
01-09-2018 | 11:48:22 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/01|Mozilla Firefox|windows|||
01-09-2018 | 11:48:27 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/02|Mozilla Firefox|windows|||
01-09-2018 | 11:48:33 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/98|Mozilla Firefox|windows|||
01-09-2018 | 11:48:37 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/99|Mozilla Firefox|windows|||
01-09-2018 | 11:48:45 |   192.168.4.55|161201|Registrar Student List|http://localhost/NDUB/ndub-student/public/register/student-list?academic_year=2018&course=0&program=99&semester=1|Mozilla Firefox|windows|||
01-09-2018 | 11:49:12 |   192.168.4.55|161201|Registrar Student List|http://localhost/NDUB/ndub-student/public/register/student-list?academic_year=2018&course=0&program=99&semester=1|Mozilla Firefox|windows|||
01-09-2018 | 11:49:24 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list|Mozilla Firefox|windows|||
01-09-2018 | 11:49:30 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/01|Mozilla Firefox|windows|||
01-09-2018 | 11:49:36 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/97|Mozilla Firefox|windows|||
01-09-2018 | 11:49:41 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&course=0&program=97&semester=1|Mozilla Firefox|windows|||
01-09-2018 | 11:50:32 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&course=0&program=97&semester=1|Mozilla Firefox|windows|||
01-09-2018 | 11:50:37 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&course=0&program=97&semester=1|Mozilla Firefox|windows|||
01-09-2018 | 11:50:47 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/01|Mozilla Firefox|windows|||
01-09-2018 | 11:50:47 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/97|Mozilla Firefox|windows|||
01-09-2018 | 11:50:50 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&course=0&program=97&semester=0|Mozilla Firefox|windows|||
01-09-2018 | 11:52:40 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&program=02&semester=0|Mozilla Firefox|windows|||
01-09-2018 | 11:52:42 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/02|Mozilla Firefox|windows|||
01-09-2018 | 11:52:56 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/03|Mozilla Firefox|windows|||
01-09-2018 | 11:52:57 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/01|Mozilla Firefox|windows|||
01-09-2018 | 11:53:00 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/03|Mozilla Firefox|windows|||
01-09-2018 | 11:53:04 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/98|Mozilla Firefox|windows|||
01-09-2018 | 11:53:20 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&program=02&semester=0|Mozilla Firefox|windows|||
01-09-2018 | 11:53:26 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&program=98&semester=1|Mozilla Firefox|windows|||
01-09-2018 | 11:54:52 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&program=98&semester=1|Mozilla Firefox|windows|||
01-09-2018 | 11:57:08 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&program=98&semester=1|Mozilla Firefox|windows|||
01-09-2018 | 11:57:19 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/02|Mozilla Firefox|windows|||
01-09-2018 | 11:57:23 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/01|Mozilla Firefox|windows|||
01-09-2018 | 11:57:24 |   192.168.4.55|161201|Ajax Course List|http://localhost/NDUB/ndub-student/public/register/ajax-course-list/01|Mozilla Firefox|windows|||
01-09-2018 | 11:57:28 |   192.168.4.55|161201|Registrar Booking Supplimentry Course List|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course/list?academic_year=2018&course=ENG1103&program=01&semester=1|Mozilla Firefox|windows|||
