12-10-2017 | 10:44:08 |   192.168.4.55|guest|Home|http://localhost/NDUB/ndub-student/public|Mozilla Firefox|windows|||
12-10-2017 | 10:44:15 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-10-2017 | 10:45:26 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-10-2017 | 10:45:31 |   192.168.4.55|161101|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-10-2017 | 10:45:33 |   192.168.4.55|161101|Accounts Dashboard|http://localhost/NDUB/ndub-student/public/accounts/deal.gomes/home|Mozilla Firefox|windows|||
12-10-2017 | 10:47:29 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction|Mozilla Firefox|windows|||
12-10-2017 | 10:47:29 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction|Mozilla Firefox|windows|||
12-10-2017 | 10:47:35 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 10:48:51 |   192.168.4.55|161101|Accounts Fee Name List|http://localhost/NDUB/ndub-student/public/register/student/fee-Waiver|Mozilla Firefox|windows|||
12-10-2017 | 11:07:07 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:07:07 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:07:17 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Google Chrome|windows|||
12-10-2017 | 11:07:42 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:08:14 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:09:49 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:10:04 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:10:41 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:10:41 |   192.168.4.55|guest|Online Application|http://localhost/NDUB/ndub-student/public/online-application/form|Mozilla Firefox|windows|||
12-10-2017 | 11:11:29 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:11:46 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:12:50 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:13:27 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:15:10 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:15:20 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:16:10 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:17:31 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:18:01 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:18:46 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:19:03 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:19:25 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:19:43 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:21:41 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:21:53 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:24:45 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:40:50 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:42:02 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:42:20 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:43:12 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:43:27 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:43:37 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:43:48 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:43:57 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:44:32 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:44:36 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
12-10-2017 | 11:45:01 |   192.168.4.55|161101|Student Payment Transaction|http://localhost/NDUB/ndub-student/public/accounts/student-payment-transaction?student_serial_no=181010013|Mozilla Firefox|windows|||
