12-03-2017 | 12:24:54 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-03-2017 | 12:25:03 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-03-2017 | 12:25:05 |   192.168.4.55|161201|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-03-2017 | 12:25:06 |   192.168.4.55|161201|Register Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Mozilla Firefox|windows|||
12-03-2017 | 12:25:15 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:28:52 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:29:15 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:29:40 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:30:18 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:30:44 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:30:55 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:31:43 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:33:01 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:34:21 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:34:56 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:37:59 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:38:32 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:39:27 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 12:41:52 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 13:20:36 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 13:21:44 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 13:25:25 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 13:25:45 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 13:27:22 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 13:28:22 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-03-2017 | 13:28:59 |   192.168.4.55|161201|Register Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
