12-12-2017 | 11:15:45 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Google Chrome|windows|||
12-12-2017 | 11:15:51 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Google Chrome|windows|||
12-12-2017 | 11:15:53 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course|Google Chrome|windows|||
12-12-2017 | 11:16:14 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010002|Google Chrome|windows|||
12-12-2017 | 11:16:21 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:36:55 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:37:44 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:42:46 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:43:10 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:44:52 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:55:21 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:56:33 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:56:59 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:57:51 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:58:26 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 11:58:56 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:01:14 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:01:43 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:02:17 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:02:28 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:04:38 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:04:40 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:05:45 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:05:57 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:06:22 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:06:24 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:08:16 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:08:18 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:08:42 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:10:15 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:10:56 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:11:43 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:11:45 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:11:51 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:12:22 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:12:24 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:15:52 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:15:53 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:16:41 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:24:03 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:28:43 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:30:46 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:31:47 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:32:20 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:32:55 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:34:07 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:34:43 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:35:00 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:35:06 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:35:35 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:35:40 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:36:36 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:37:18 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:37:58 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:38:02 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:38:18 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:38:19 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:38:30 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:38:31 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:38:38 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:38:39 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:38:53 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:38:55 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:40:55 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:40:56 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:41:02 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:41:04 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:41:16 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:41:17 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:41:25 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:41:38 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:41:40 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
12-12-2017 | 12:43:27 |   192.168.4.55|161201|Registrar Supplimentry Result Update|http://localhost/NDUB/ndub-student/public/register/supplimentry-result-update/181010001/ENG1103/01|Google Chrome|windows|||
12-12-2017 | 12:43:33 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Google Chrome|windows|||
