12-11-2017 | 12:12:48 |   192.168.4.55|161101|Accounts Student Payment Summery Excel|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery/excel/program-01/batch-2|Mozilla Firefox|windows|||
12-11-2017 | 12:12:58 |   192.168.4.55|161101|Accounts Student Payment Summery Excel|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery/excel/program-01/batch-2|Mozilla Firefox|windows|||
12-11-2017 | 12:13:12 |   192.168.4.55|161101|Accounts Student Payment Summery|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery?batch_no=2&program=01|Mozilla Firefox|windows|||
12-11-2017 | 12:13:18 |   192.168.4.55|161101|Accounts Student Payment Summery|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery?batch_no=2&program=01|Mozilla Firefox|windows|||
12-11-2017 | 12:13:41 |   192.168.4.55|161101|Accounts Student Payment Summery Excel|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery/excel/program-01/batch-2|Mozilla Firefox|windows|||
12-11-2017 | 12:14:17 |   192.168.4.55|161101|Accounts Student Payment Summery Excel|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery/excel/program-01/batch-2|Mozilla Firefox|windows|||
12-11-2017 | 12:14:47 |   192.168.4.55|161101|Accounts Student Payment Summery Excel|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery/excel/program-01/batch-2|Mozilla Firefox|windows|||
12-11-2017 | 12:15:59 |   192.168.4.55|161101|Accounts Student Payment Summery Excel|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery/excel/program-01/batch-2|Mozilla Firefox|windows|||
12-11-2017 | 12:16:56 |   192.168.4.55|161101|Accounts Student Payment Summery Excel|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery/excel/program-01/batch-2|Mozilla Firefox|windows|||
12-11-2017 | 12:17:06 |   192.168.4.55|161101|Accounts Student Payment Summery Excel|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery/excel/program-01/batch-2|Mozilla Firefox|windows|||
12-11-2017 | 12:17:18 |   192.168.4.55|161101|Accounts Student Payment Summery Excel|http://localhost/NDUB/ndub-student/public/accounts/student/payment/summery/excel/program-01/batch-2|Mozilla Firefox|windows|||
