01-11-2018 | 11:36:57 |   192.168.4.55|guest|Home|http://localhost/NDUB/ndub-student/public|Mozilla Firefox|windows|||
01-11-2018 | 11:38:48 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-11-2018 | 11:39:00 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-11-2018 | 11:39:07 |   192.168.4.55|161501|SystemAdmin Dashboard|http://localhost/NDUB/ndub-student/public/systemadmin/md.moudud.sabbir/home|Mozilla Firefox|windows|||
01-11-2018 | 11:44:23 |   192.168.4.55|161501|LogIn|http://localhost/NDUB/ndub-student/public/logout/md.moudud.sabbir|Mozilla Firefox|windows|||
01-11-2018 | 11:44:26 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-11-2018 | 11:44:48 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-11-2018 | 11:44:52 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/academic.officer/home|Mozilla Firefox|windows|||
01-11-2018 | 11:44:55 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings|Mozilla Firefox|windows|||
01-11-2018 | 13:11:18 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings|Mozilla Firefox|windows|||
01-11-2018 | 13:11:27 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course/category/add|Mozilla Firefox|windows|||
01-11-2018 | 13:11:29 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:11:46 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course/entry|Mozilla Firefox|windows|||
01-11-2018 | 13:11:48 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_add|Mozilla Firefox|windows|||
01-11-2018 | 13:12:04 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course/entry|Mozilla Firefox|windows|||
01-11-2018 | 13:12:06 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_add|Mozilla Firefox|windows|||
01-11-2018 | 13:12:24 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course/entry|Mozilla Firefox|windows|||
01-11-2018 | 13:12:26 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_add|Mozilla Firefox|windows|||
01-11-2018 | 13:13:18 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course/entry|Mozilla Firefox|windows|||
01-11-2018 | 13:13:20 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_add|Mozilla Firefox|windows|||
01-11-2018 | 13:13:28 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-list/ajax/08|Mozilla Firefox|windows|||
01-11-2018 | 13:13:42 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-category/update|Mozilla Firefox|windows|||
01-11-2018 | 13:13:44 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_catalogue|Mozilla Firefox|windows|||
01-11-2018 | 13:13:54 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course/category/add|Mozilla Firefox|windows|||
01-11-2018 | 13:13:56 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:14:00 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-list/ajax/08|Mozilla Firefox|windows|||
01-11-2018 | 13:14:14 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-category/update|Mozilla Firefox|windows|||
01-11-2018 | 13:14:17 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_catalogue|Mozilla Firefox|windows|||
01-11-2018 | 13:14:23 |   192.168.4.55|161301|Catalouge List Ajax|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/ajax/08|Mozilla Firefox|windows|||
01-11-2018 | 13:14:23 |   192.168.4.55|161301|Store Degree Plan|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/store-degree-plan|Mozilla Firefox|windows|||
01-11-2018 | 13:14:25 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=degree_plan|Mozilla Firefox|windows|||
01-11-2018 | 13:14:35 |   192.168.4.55|161301|Catalouge List Ajax|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/ajax/08|Mozilla Firefox|windows|||
01-11-2018 | 13:14:36 |   192.168.4.55|161301|Store Degree Plan|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/store-degree-plan|Mozilla Firefox|windows|||
01-11-2018 | 13:14:37 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=degree_plan|Mozilla Firefox|windows|||
01-11-2018 | 13:15:17 |   192.168.4.55|161301|Store Degree Plan|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/store-degree-plan|Mozilla Firefox|windows|||
01-11-2018 | 13:15:18 |   192.168.4.55|161301|Catalouge List Ajax|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/ajax/08|Mozilla Firefox|windows|||
01-11-2018 | 13:15:18 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=degree_plan|Mozilla Firefox|windows|||
01-11-2018 | 13:15:25 |   192.168.4.55|161301|Catalouge List Ajax|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/ajax/08|Mozilla Firefox|windows|||
01-11-2018 | 13:15:28 |   192.168.4.55|161301|Store Degree Plan|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/store-degree-plan|Mozilla Firefox|windows|||
01-11-2018 | 13:15:38 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=degree_plan|Mozilla Firefox|windows|||
01-11-2018 | 13:17:41 |   192.168.4.55|161301|Catalouge List Ajax|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/ajax/08|Mozilla Firefox|windows|||
01-11-2018 | 13:17:43 |   192.168.4.55|161301|Store Degree Plan|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/store-degree-plan|Mozilla Firefox|windows|||
01-11-2018 | 13:20:37 |   192.168.4.55|161301|Store Degree Plan|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/store-degree-plan|Mozilla Firefox|windows|||
01-11-2018 | 13:21:08 |   192.168.4.55|161301|Store Degree Plan|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/store-degree-plan|Mozilla Firefox|windows|||
01-11-2018 | 13:21:38 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=degree_plan|Mozilla Firefox|windows|||
01-11-2018 | 13:21:43 |   192.168.4.55|161301|Catalouge List Ajax|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/ajax/12|Mozilla Firefox|windows|||
01-11-2018 | 13:21:52 |   192.168.4.55|161301|Catalouge List Ajax|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/ajax/08|Mozilla Firefox|windows|||
01-11-2018 | 13:22:11 |   192.168.4.55|161301|Store Degree Plan|http://localhost/NDUB/ndub-student/public/academic/catalouge-list/store-degree-plan|Mozilla Firefox|windows|||
01-11-2018 | 13:22:13 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=degree_plan|Mozilla Firefox|windows|||
01-11-2018 | 13:22:25 |   192.168.4.55|161301|Delete Degree Plan|http://localhost/NDUB/ndub-student/public/academic-settings/delete-degree-plan/0361b98b-92a6-43c0-b0e3-c44f16737888|Mozilla Firefox|windows|||
01-11-2018 | 13:22:26 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=degree_plan|Mozilla Firefox|windows|||
01-11-2018 | 13:22:34 |   192.168.4.55|161301|Delete Course Catalouge|http://localhost/NDUB/ndub-student/public/academic-settings/delete-course-catalouge/54de527a-5915-43c0-b543-21bfdec5759f|Mozilla Firefox|windows|||
01-11-2018 | 13:22:36 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_catalogue|Mozilla Firefox|windows|||
01-11-2018 | 13:22:41 |   192.168.4.55|161301|Delete Course Catalouge|http://localhost/NDUB/ndub-student/public/academic-settings/delete-course-catalouge/c9db2448-dad9-40ff-8f66-4d47689f5508|Mozilla Firefox|windows|||
01-11-2018 | 13:22:42 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_catalogue|Mozilla Firefox|windows|||
01-11-2018 | 13:22:58 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/delete/course_add/w45w_08_1_1|Mozilla Firefox|windows|||
01-11-2018 | 13:23:03 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_add|Mozilla Firefox|windows|||
01-11-2018 | 13:23:06 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/delete/course_add/werw_08_1_1|Mozilla Firefox|windows|||
01-11-2018 | 13:23:07 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_add|Mozilla Firefox|windows|||
01-11-2018 | 13:23:12 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/delete/course_categoty/werw|Mozilla Firefox|windows|||
01-11-2018 | 13:23:13 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:23:19 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/delete/course_categoty/gddb_d_d_|Mozilla Firefox|windows|||
01-11-2018 | 13:23:22 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:23:28 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/delete/course_categoty/foundation_courses|Mozilla Firefox|windows|||
01-11-2018 | 13:23:30 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:23:38 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/delete/course_categoty/hellobd|Mozilla Firefox|windows|||
01-11-2018 | 13:23:40 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:24:11 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?page=2&tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:24:15 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/delete/course_categoty/core_courses|Mozilla Firefox|windows|||
01-11-2018 | 13:24:16 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:24:21 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/course_categoty/foundation_courses|Mozilla Firefox|windows|||
01-11-2018 | 13:24:24 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-category/edit/foundation_courses|Mozilla Firefox|windows|||
01-11-2018 | 13:24:25 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:24:33 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/course_categoty/foundation_coursess|Mozilla Firefox|windows|||
01-11-2018 | 13:24:40 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-category/edit/foundation_coursess|Mozilla Firefox|windows|||
01-11-2018 | 13:24:43 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:24:49 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/course_categoty/foundation_coursess|Mozilla Firefox|windows|||
01-11-2018 | 13:24:55 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-category/edit/foundation_coursess|Mozilla Firefox|windows|||
01-11-2018 | 13:24:56 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:25:10 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?page=2&tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:25:16 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/course_categoty/core_courses|Mozilla Firefox|windows|||
01-11-2018 | 13:25:20 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-category/edit/core_courses|Mozilla Firefox|windows|||
01-11-2018 | 13:25:23 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:25:27 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?page=2&tab=course_categoty|Mozilla Firefox|windows|||
01-11-2018 | 13:25:30 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings/course_categoty/core_coursess|Mozilla Firefox|windows|||
01-11-2018 | 13:25:34 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-category/edit/core_coursess|Mozilla Firefox|windows|||
01-11-2018 | 13:25:35 |   192.168.4.55|161301|Academic|http://localhost/NDUB/ndub-student/public/academic/course-settings?tab=course_categoty|Mozilla Firefox|windows|||
