01-08-2018 | 13:06:20 |   192.168.4.55|guest|Home|http://localhost/NDUB/ndub-student/public|Mozilla Firefox|windows|||
01-08-2018 | 13:06:28 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-08-2018 | 13:06:38 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-08-2018 | 13:06:40 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-08-2018 | 13:06:50 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-08-2018 | 13:06:51 |   192.168.4.55|161201|Registrar Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Mozilla Firefox|windows|||
01-08-2018 | 13:07:16 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course|Mozilla Firefox|windows|||
01-08-2018 | 13:10:27 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course|Mozilla Firefox|windows|||
01-08-2018 | 13:12:31 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010008|Mozilla Firefox|windows|||
01-08-2018 | 13:12:46 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Mozilla Firefox|windows|||
01-08-2018 | 13:14:08 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Mozilla Firefox|windows|||
01-08-2018 | 13:14:16 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Mozilla Firefox|windows|||
01-08-2018 | 13:15:10 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=181010001|Mozilla Firefox|windows|||
01-08-2018 | 13:15:21 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course|Mozilla Firefox|windows|||
01-08-2018 | 13:15:27 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
01-08-2018 | 13:20:32 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
01-08-2018 | 13:56:55 |   192.168.4.55|161201|Registrar Booking Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/booking/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
