11-30-2017 | 12:45:48 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
11-30-2017 | 12:46:17 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
11-30-2017 | 12:47:23 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
11-30-2017 | 12:47:24 |   192.168.4.55|1702001|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
11-30-2017 | 12:47:26 |   192.168.4.55|1702001|Faculty Dashboard|http://localhost/NDUB/ndub-student/public/faculty/naim..isalam/home|Mozilla Firefox|windows|||
11-30-2017 | 12:47:56 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public//faculty/student/attendance/list|Mozilla Firefox|windows|||
11-30-2017 | 12:47:57 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list|Mozilla Firefox|windows|||
11-30-2017 | 12:48:56 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list|Mozilla Firefox|windows|||
11-30-2017 | 12:49:00 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list?academic_year=0&attendance_date_value=2017-11-30&course=0&program=0&semester=0|Mozilla Firefox|windows|||
11-30-2017 | 12:52:10 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list|Mozilla Firefox|windows|||
11-30-2017 | 12:54:52 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list|Mozilla Firefox|windows|||
11-30-2017 | 12:55:27 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list|Mozilla Firefox|windows|||
11-30-2017 | 12:56:30 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/percent|Mozilla Firefox|windows|||
11-30-2017 | 12:58:05 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list|Mozilla Firefox|windows|||
11-30-2017 | 12:59:13 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list?academic_year=0&attendance_date_value=2017-11-30&course=ENG1103&program=0&semester=0|Mozilla Firefox|windows|||
11-30-2017 | 13:00:21 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list?academic_year=0&attendance_date_value=2017-11-30&course=ENG1103&program=0&semester=0|Mozilla Firefox|windows|||
11-30-2017 | 13:00:30 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list?academic_year=2018&attendance_date_value=2017-11-30&course=ENG1103&program=01&semester=1|Mozilla Firefox|windows|||
11-30-2017 | 13:00:47 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list?academic_year=2018&attendance_date_value=2017-11-30&course=0&program=01&semester=1|Mozilla Firefox|windows|||
11-30-2017 | 13:00:55 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list?academic_year=2018&attendance_date_value=2017-11-30&course=ENG1103&program=01&semester=1|Mozilla Firefox|windows|||
11-30-2017 | 13:03:59 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list?academic_year=2018&attendance_date_value=2017-11-30&course=ENG1103&program=01&semester=1|Mozilla Firefox|windows|||
11-30-2017 | 13:04:26 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:06:19 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:06:35 |   192.168.4.55|1702001|Faculty Student Attendance List|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list?academic_year=2018&attendance_date_value=2017-11-30&course=ENG1103&program=01&semester=1|Mozilla Firefox|windows|||
11-30-2017 | 13:06:45 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:07:41 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:10:01 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:10:22 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:10:42 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:10:54 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:11:16 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:11:49 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:11:50 |   192.168.4.55|1702001|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
11-30-2017 | 13:11:51 |   192.168.4.55|1702001|Faculty Dashboard|http://localhost/NDUB/ndub-student/public/faculty/naim..isalam/home|Mozilla Firefox|windows|||
11-30-2017 | 13:12:14 |   192.168.4.55|1702001|Faculty Attendance Submit|http://localhost/NDUB/ndub-student/public/faculty/student/attendance/list/submit|Mozilla Firefox|windows|||
11-30-2017 | 13:12:17 |   192.168.4.55|1702001|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
