01-23-2018 | 14:10:36 |   127.0.0.1|guest|Home|http://localhost/NDUB/ndub-student/public|Mozilla Firefox|windows|||
01-23-2018 | 14:10:40 |   127.0.0.1|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-23-2018 | 14:10:55 |   127.0.0.1|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-23-2018 | 14:10:58 |   127.0.0.1|161201|Registrar Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Mozilla Firefox|windows|||
01-23-2018 | 14:11:09 |   127.0.0.1|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course|Mozilla Firefox|windows|||
01-23-2018 | 14:11:15 |   192.168.6.14|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
01-23-2018 | 15:20:27 |   192.168.4.55|161201|LogIn|http://localhost/NDUB/ndub-student/public/logout/Register|Mozilla Firefox|windows|||
01-23-2018 | 15:20:29 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-23-2018 | 15:20:37 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-23-2018 | 15:20:38 |   192.168.4.55|1702001|Faculty Dashboard|http://localhost/NDUB/ndub-student/public/faculty/naim..isalam/home|Mozilla Firefox|windows|||
01-23-2018 | 15:20:44 |   192.168.4.55|1702001|Result Processing|http://localhost/NDUB/ndub-student/public/faculty/result-processing|Mozilla Firefox|windows|||
01-23-2018 | 15:20:47 |   192.168.4.55|1702001|Faculty Result Processing Marks Submit|http://localhost/NDUB/ndub-student/public/faculty/result-processing-marks-submit/01/ENG1103/3/2018|Mozilla Firefox|windows|||
01-23-2018 | 15:20:52 |   192.168.4.55|1702001|Faculty Result Processing Marks Submit|http://localhost/NDUB/ndub-student/public/faculty/result-processing-marks-submit/01/BUS1101/3/2018|Mozilla Firefox|windows|||
01-23-2018 | 15:20:52 |   192.168.4.55|1702001|Faculty Result Processing Marks Submit|http://localhost/NDUB/ndub-student/public/faculty/result-processing-marks-submit/01/MGT1102/3/2018|Mozilla Firefox|windows|||
01-23-2018 | 15:21:00 |   192.168.4.55|1702001|Program Head Result Publish|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-publish|Mozilla Firefox|windows|||
01-23-2018 | 15:21:06 |   192.168.4.55|1702001|Program Head Result Publish Modal|http://localhost/NDUB/ndub-student/public/faculty/ajax-program-head-result-publish/3420324|Mozilla Firefox|windows|||
01-23-2018 | 15:21:19 |   192.168.4.55|1702001|Program Head Result Update|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-update/183010001/3420324/01?lab_attendance=8&lab_final=39&lab_performance=6&lab_reprot=7|Mozilla Firefox|windows|||
01-23-2018 | 15:21:21 |   192.168.4.55|1702001|Program Head Result Publish|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-publish|Mozilla Firefox|windows|||
01-23-2018 | 15:21:22 |   192.168.4.55|1702001|Program Head Result Publish|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-publish|Mozilla Firefox|windows|||
01-23-2018 | 15:21:24 |   192.168.4.55|1702001|Program Head Result Publish Modal|http://localhost/NDUB/ndub-student/public/faculty/ajax-program-head-result-publish/3420324|Mozilla Firefox|windows|||
01-23-2018 | 15:21:31 |   192.168.4.55|1702001|Program Head Result Update|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-update/183010001/3420324/01?lab_attendance=8&lab_final=39&lab_performance=6&lab_reprot=7&lab_verbal=11|Mozilla Firefox|windows|||
01-23-2018 | 15:21:44 |   192.168.4.55|1702001|Program Head Result Publish Modal|http://localhost/NDUB/ndub-student/public/faculty/ajax-program-head-result-publish/3420324|Mozilla Firefox|windows|||
01-23-2018 | 15:21:46 |   192.168.4.55|1702001|Program Head Result Publish|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-publish|Mozilla Firefox|windows|||
01-23-2018 | 15:21:48 |   192.168.4.55|1702001|Program Head Result Publish Modal|http://localhost/NDUB/ndub-student/public/faculty/ajax-program-head-result-publish/3420324|Mozilla Firefox|windows|||
01-23-2018 | 15:21:53 |   192.168.4.55|1702001|Program Head Result Update|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-update/183010001/3420324/01?lab_attendance=8&lab_final=39&lab_performance=6&lab_reprot=7&lab_verbal=11|Mozilla Firefox|windows|||
01-23-2018 | 15:22:02 |   192.168.4.55|1702001|Program Head Result Publish|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-publish|Mozilla Firefox|windows|||
01-23-2018 | 15:22:04 |   192.168.4.55|1702001|Program Head Result Publish Modal|http://localhost/NDUB/ndub-student/public/faculty/ajax-program-head-result-publish/3420324|Mozilla Firefox|windows|||
01-23-2018 | 15:22:09 |   192.168.4.55|1702001|Program Head Result Publish|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-publish|Mozilla Firefox|windows|||
01-23-2018 | 15:22:14 |   192.168.4.55|1702001|Program Head Result Publish Modal|http://localhost/NDUB/ndub-student/public/faculty/ajax-program-head-result-publish/3420324|Mozilla Firefox|windows|||
01-23-2018 | 15:22:22 |   192.168.4.55|1702001|Program Head Result Update|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-update/183010001/3420324/01?lab_attendance=8&lab_final=39&lab_performance=6&lab_reprot=7&lab_verbal=11|Mozilla Firefox|windows|||
01-23-2018 | 15:22:28 |   192.168.4.55|1702001|Program Head Result Publish|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-publish|Mozilla Firefox|windows|||
01-23-2018 | 15:25:20 |   192.168.4.55|1702001|Program Head Result Publish Modal|http://localhost/NDUB/ndub-student/public/faculty/ajax-program-head-result-publish/3420324|Mozilla Firefox|windows|||
01-23-2018 | 15:25:25 |   192.168.4.55|1702001|Program Head Result Update|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-update/183010001/3420324/01?lab_attendance=8&lab_final=39&lab_performance=6&lab_reprot=7&lab_verbal=10|Mozilla Firefox|windows|||
01-23-2018 | 15:25:27 |   192.168.4.55|1702001|Program Head Result Publish|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-publish|Mozilla Firefox|windows|||
01-23-2018 | 15:25:35 |   192.168.4.55|1702001|Program Head Result Publish|http://localhost/NDUB/ndub-student/public/faculty/program-head-result-publish|Mozilla Firefox|windows|||
01-23-2018 | 15:25:38 |   192.168.4.55|1702001|Program Head Result Publish Modal|http://localhost/NDUB/ndub-student/public/faculty/ajax-program-head-result-publish/3420324|Mozilla Firefox|windows|||
01-23-2018 | 15:39:05 |   192.168.4.55|1702001|Program Head Result Publish Modal|http://localhost/NDUB/ndub-student/public/faculty/ajax-program-head-result-publish/BUS1201|Mozilla Firefox|windows|||
01-23-2018 | 15:55:44 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-23-2018 | 15:56:45 |   192.168.4.55|1702001|LogIn|http://localhost/NDUB/ndub-student/public/logout/naim..isalam|Mozilla Firefox|windows|||
01-23-2018 | 15:56:52 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-23-2018 | 15:57:07 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
01-23-2018 | 15:57:09 |   192.168.4.55|161201|Registrar Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Mozilla Firefox|windows|||
01-23-2018 | 15:57:21 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course|Mozilla Firefox|windows|||
01-23-2018 | 15:57:26 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
01-23-2018 | 16:01:02 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
01-23-2018 | 16:26:15 |   192.168.4.55|161201|Registrar Supplimentry Course|http://localhost/NDUB/ndub-student/public/register/student/supplimentry/course?academic_year=0&semester=0&student_serial_no=183010001|Mozilla Firefox|windows|||
