12-30-2017 | 13:33:03 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/ENG1103/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:33:05 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:34:06 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/ENG1103/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:35:35 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/ENG1103/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:37:16 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:37:25 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/ENG1103/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:37:27 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:38:22 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:38:30 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/BBA4303/Field%20work/2018/1|Mozilla Firefox|windows|||
12-30-2017 | 13:38:32 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:39:50 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:39:57 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/3420324/Lab%20work/2018/1|Mozilla Firefox|windows|||
12-30-2017 | 13:39:59 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:40:38 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:40:44 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/3420324/Lab%20work/2018/1|Mozilla Firefox|windows|||
12-30-2017 | 13:40:47 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:41:12 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:41:22 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/3420324/Lab%20work/2018/1|Mozilla Firefox|windows|||
12-30-2017 | 13:44:32 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/3420324/Lab%20work/2018/1|Mozilla Firefox|windows|||
12-30-2017 | 13:44:32 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:44:46 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/3420324/Lab%20work/2018/1|Mozilla Firefox|windows|||
12-30-2017 | 13:45:30 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:45:48 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:48:08 |   192.168.4.55|161201|Admission List|http://localhost/NDUB/ndub-student/public/register/admission/list|Mozilla Firefox|windows|||
12-30-2017 | 13:48:11 |   192.168.4.55|161201|Registrar|http://localhost/NDUB/ndub-student/public/register/applicant/list/detail-A181015776095|Mozilla Firefox|windows|||
12-30-2017 | 13:48:15 |   192.168.4.55|161201|Class Teacher Assign|http://localhost/NDUB/ndub-student/public/register/class-teacher-assign|Mozilla Firefox|windows|||
12-30-2017 | 13:49:36 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:49:43 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/BUS1101/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:49:56 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:50:02 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/BUS1101/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:50:28 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:52:20 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:52:32 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/BUS1101/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:53:15 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:54:44 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/BUS1101/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:57:22 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/BUS1101/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:57:23 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:58:21 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/BUS1101/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:58:26 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:59:03 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/BUS1101/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:59:05 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
12-30-2017 | 13:59:39 |   192.168.4.55|161201|Registrar Existing Student Delete Course|http://localhost/NDUB/ndub-student/public/register/existing/student/delete/course/56323/BUS1101/Theory/2017/1|Mozilla Firefox|windows|||
12-30-2017 | 13:59:41 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?batch=13&program=01&student_no=56323|Mozilla Firefox|windows|||
