12-17-2017 | 10:42:03 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-17-2017 | 10:47:50 |   192.168.4.55|guest|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-17-2017 | 10:47:57 |   192.168.4.55|161201|LogIn|http://localhost/NDUB/ndub-student/public/login|Mozilla Firefox|windows|||
12-17-2017 | 10:48:01 |   192.168.4.55|161201|Registrar Dashboard|http://localhost/NDUB/ndub-student/public/register/Register/home|Mozilla Firefox|windows|||
12-17-2017 | 11:37:24 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student|Mozilla Firefox|windows|||
12-17-2017 | 11:37:34 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 11:38:22 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 11:38:43 |   192.168.4.55|161201|Registrar Existing Student Accepted Course|http://localhost/NDUB/ndub-student/public/register/existing/student/accepted/course|Mozilla Firefox|windows|||
12-17-2017 | 11:38:43 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 11:38:45 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 11:38:48 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 12:34:08 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 12:34:20 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 12:34:21 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 12:35:58 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 12:37:49 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 12:38:38 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
12-17-2017 | 12:44:15 |   192.168.4.55|161201|Registrar Existing Student|http://localhost/NDUB/ndub-student/public/register/existing/student?program=01|Mozilla Firefox|windows|||
